Location,District,Date,Latitude,Longitude,AQI,PM 2.5 AVG (µg/m³),PM 10 AVG (µg/m³),REL HUMI (%),TEMPERATURE (°C),Week,Year,Month
Anadapuri Playground,North 24 Pgs.,8/31/2025,22.762825,88.37412,54.91666667,30.58041667,54.96333333,76.57833333,34.38583333,35,2025,August
Anadapuri Playground,North 24 Pgs.,9/1/2025,22.762825,88.37412,69.41666667,39.2025,69.73875,75.8975,34.39833333,36,2025,September
Anadapuri Playground,North 24 Pgs.,9/2/2025,22.762825,88.37412,36.45833333,21.11375,36.39916667,85.59791667,29.70375,36,2025,September
Anadapuri Playground,North 24 Pgs.,9/3/2025,22.762825,88.37412,33.5,19.49625,33.57875,86.21708333,29.8725,36,2025,September
Anadapuri Playground,North 24 Pgs.,9/4/2025,22.762825,88.37412,41.375,23.60125,41.385,83.39875,30.71666667,36,2025,September
Anadapuri Playground,North 24 Pgs.,9/5/2025,22.762825,88.37412,59.04166667,32.98833333,58.99208333,78.60625,32.77458333,36,2025,September
Anadapuri Playground,North 24 Pgs.,9/6/2025,22.762825,88.37412,69.375,38.10541667,69.43958333,75.50166667,35.24416667,36,2025,September
Anadapuri Playground,North 24 Pgs.,9/7/2025,22.762825,88.37412,64.83333333,36.67208333,64.89166667,75.65625,33.12875,36,2025,September
Anadapuri Playground,North 24 Pgs.,9/8/2025,22.762825,88.37412,50.375,27.39541667,50.335,74.60791667,35.29583333,37,2025,September
Anadapuri Playground,North 24 Pgs.,9/9/2025,22.762825,88.37412,53.58333333,29.48375,53.6025,74.79291667,34.72333333,37,2025,September
Anadapuri Playground,North 24 Pgs.,9/10/2025,22.762825,88.37412,52.125,29.19875,52.01541667,75.11541667,34.42541667,37,2025,September
Anadapuri Playground,North 24 Pgs.,9/11/2025,22.762825,88.37412,49,27.43041667,48.93333333,76.22291667,34.37041667,37,2025,September
Anadapuri Playground,North 24 Pgs.,9/12/2025,22.762825,88.37412,44.83333333,25.4725,44.9075,80.02208333,32.65083333,37,2025,September
Anadapuri Playground,North 24 Pgs.,9/13/2025,22.762825,88.37412,42.16666667,23.27041667,42.17125,78.29291667,34.0875,37,2025,September
Anadapuri Playground,North 24 Pgs.,9/14/2025,22.762825,88.37412,45.54166667,25.49625,45.46875,85.20833333,31.27541667,37,2025,September
Anadapuri Playground,North 24 Pgs.,9/15/2025,22.762825,88.37412,43.16666667,24.77625,43.1875,86.44458333,31.13458333,38,2025,September
Anadapuri Playground,North 24 Pgs.,9/16/2025,22.762825,88.37412,48.41666667,27.8375,48.49458333,86.70041667,31.0825,38,2025,September
Anadapuri Playground,North 24 Pgs.,9/17/2025,22.762825,88.37412,47.29166667,27.3225,47.34791667,82.08041667,32.16375,38,2025,September
Anadapuri Playground,North 24 Pgs.,9/18/2025,22.762825,88.37412,48.375,27.51666667,48.31541667,76.09458333,34.49916667,38,2025,September
Anadapuri Playground,North 24 Pgs.,9/19/2025,22.762825,88.37412,70.66666667,40.13583333,70.53,80.44875,33.07458333,38,2025,September
Anadapuri Playground,North 24 Pgs.,9/20/2025,22.762825,88.37412,73.41666667,41.71791667,73.39291667,84.06416667,32.96,38,2025,September
Anadapuri Playground,North 24 Pgs.,9/21/2025,22.762825,88.37412,82.20833333,47.39833333,82.20708333,77.89666667,32.195,38,2025,September
Anadapuri Playground,North 24 Pgs.,9/22/2025,22.762825,88.37412,64.45833333,36.735,64.52708333,83.98583333,31.84208333,39,2025,September
Anadapuri Playground,North 24 Pgs.,9/23/2025,22.762825,88.37412,48,27.86708333,47.99833333,86.83375,29.96416667,39,2025,September
Anadapuri Playground,North 24 Pgs.,9/24/2025,22.762825,88.37412,50.45833333,29.40791667,50.45041667,80.2125,31.2275,39,2025,September
Anadapuri Playground,North 24 Pgs.,9/25/2025,22.762825,88.37412,48.375,27.87708333,48.43833333,79.42958333,32.32791667,39,2025,September
Anadapuri Playground,North 24 Pgs.,9/26/2025,22.762825,88.37412,40.66666667,22.89375,40.61125,82.42208333,33.59875,39,2025,September
Anadapuri Playground,North 24 Pgs.,9/27/2025,22.762825,88.37412,37.83333333,21.88083333,37.83666667,80.96375,32.12208333,39,2025,September
Anadapuri Playground,North 24 Pgs.,9/28/2025,22.762825,88.37412,40.58333333,22.65916667,40.56708333,77.06125,33.71916667,39,2025,September
Anadapuri Playground,North 24 Pgs.,9/29/2025,22.762825,88.37412,51.95833333,29.36375,52.09666667,77.59041667,33.33416667,40,2025,September
Anadapuri Playground,North 24 Pgs.,9/30/2025,22.762825,88.37412,53,30.39333333,53.00708333,76.30625,34.21708333,40,2025,September
Anadapuri Playground,North 24 Pgs.,10/1/2025,22.762825,88.37412,45.79166667,25.79083333,45.86583333,80.03458333,32.53416667,40,2025,October
Anadapuri Playground,North 24 Pgs.,10/2/2025,22.762825,88.37412,31.125,18.49375,31.13583333,89.79083333,28.35666667,40,2025,October
Anadapuri Playground,North 24 Pgs.,10/3/2025,22.762825,88.37412,37.95833333,22.07041667,37.93458333,90.18291667,30.45791667,40,2025,October
Anadapuri Playground,North 24 Pgs.,10/4/2025,22.762825,88.37412,41.75,23.9275,41.80083333,84.88041667,31.56916667,40,2025,October
Anadapuri Playground,North 24 Pgs.,10/5/2025,22.762825,88.37412,41.16666667,23.75208333,41.14875,85.50291667,30.31833333,40,2025,October
Anadapuri Playground,North 24 Pgs.,10/6/2025,22.762825,88.37412,63.75,36.545,63.7825,84.81,30.24958333,41,2025,October
Anadapuri Playground,North 24 Pgs.,10/7/2025,22.762825,88.37412,65.66666667,37.72916667,65.70875,81.30416667,32.33875,41,2025,October
Anadapuri Playground,North 24 Pgs.,10/8/2025,22.762825,88.37412,72.875,41.6325,72.8825,84.47708333,32.17166667,41,2025,October
Anadapuri Playground,North 24 Pgs.,10/9/2025,22.762825,88.37412,76.25,44.23375,76.25208333,82.37916667,30.29583333,41,2025,October
Anadapuri Playground,North 24 Pgs.,10/10/2025,22.762825,88.37412,70.20833333,40.5875,70.29375,83.43333333,30.09083333,41,2025,October
Anadapuri Playground,North 24 Pgs.,10/11/2025,22.762825,88.37412,62.95833333,35.45375,62.97291667,77.18791667,32.64875,41,2025,October
Anadapuri Playground,North 24 Pgs.,10/12/2025,22.762825,88.37412,70.66666667,39.96916667,70.56666667,75.00958333,31.17708333,41,2025,October
Anadapuri Playground,North 24 Pgs.,10/13/2025,22.762825,88.37412,73.33333333,41.27208333,73.2575,71.94791667,32.40083333,42,2025,October
Anadapuri Playground,North 24 Pgs.,10/14/2025,22.762825,88.37412,76.95833333,42.97208333,76.94375,72.82833333,31.69916667,42,2025,October
Anadapuri Playground,North 24 Pgs.,10/15/2025,22.762825,88.37412,77.25,43.47208333,77.3075,70.48,31.355,42,2025,October
Anadapuri Playground,North 24 Pgs.,10/16/2025,22.762825,88.37412,77.79166667,43.92083333,77.75708333,68.6775,30.58916667,42,2025,October
Anadapuri Playground,North 24 Pgs.,10/17/2025,22.762825,88.37412,87.16666667,49.75333333,87.41333333,70.83583333,30.66916667,42,2025,October
